Date,NGD,LDZ,GTP,IND,HDD,HDD-1,Rus,Workday,War,FR nuclear,DE wind,DE solar,THE price,DE IND index,EU storage,EU LNG,UK NL production,Norway sendout,African TAP
2012-04-01,,,,,,,,,,,,,,,,,,,
2012-04-02,,,,,,,,,,,,,,,,,,,
2012-04-03,,,,,,,,,,,,,,,,,,,
2012-04-04,,,,,,,,,,,,,,,,,,,
2012-04-05,,,,,,,,,,,,,,,,,,,
2012-04-06,,,,,,,,,,,,,,,,,,,
2012-04-07,,,,,,,,,,,,,,,,,,,
2012-04-08,,,,,,,,,,,,,,,,,,,
2012-04-09,,,,,,,,,,,,,,,,,,,
2012-04-10,,,,,,,,,,,,,,,,,,,
2012-04-11,,,,,,,,,,,,,,,,,,,
2012-04-12,,,,,,,,,,,,,,,,,,,
2012-04-13,,,,,,,,,,,,,,,,,,,
2012-04-14,,,,,,,,,,,,,,,,,,,
2012-04-15,,,,,,,,,,,,,,,,,,,
2012-04-16,1.4560972075649508,-0.4389958836842798,1.940576572439104,-0.045483435577245934,3.3764166693331163,0.8557514349193941,-5.670794229270985,0.3656867217689996,0.003527175468727637,13.959401239194989,2781.316546625281,,0.28210499379801096,0.009228823903078942,-0.049253321943132256,5.098949075068013,,,7.14587019200421
2012-04-17,18.232410679973697,15.833065831251236,1.3899197038150146,1.0094251584373533,3.9751551964861576,3.376789347877178,2.587486885343429,0.3585091061972234,-0.0035287856018319736,263.8176737452857,-1172.0871395061067,,0.05286898406564296,-0.05288338375507333,-0.18002704457086033,-1.0791896110635655,,,10.757669498573545
2012-04-18,15.424051206944515,11.210228040987234,2.6966122145108806,1.5172109084981817,2.079149282547589,3.9755278750302194,6.387546507272819,0.37310764634320887,-0.003285476599398883,97.84468104456606,-304.9525166350605,,0.2585441665474,-0.01985039312733679,-0.33872777449786695,-105.43706065729236,,,10.27550736961977
2012-04-19,-1.215650169977699,-3.584678945090598,0.7337820904342369,1.635246637670931,0.7261499969889533,2.079521961091651,11.774191551709617,0.3512098361242306,-0.003042167596965793,1365.7198635263157,475.32597484912435,,0.04625706192452539,-0.001408928126130235,-0.47345770150516886,-299.067084988192,,,11.493732041152633
